major_1,college_1,color
Accounting,BU,#d11242
Africana Studies,LA,#00447c
Anthropology,LA,#00447c
Applied Geology,LA,#00447c
Art,LA,#00447c
"ArtHistory,Theory&Criticism",LA,#00447c
Athletic Training,PS,#717073
Aviation & Aerospace Mgt,PS,#717073
Aviation and Aerospace Science,PS,#717073
Behavioral Science,LA,#00447c
Biochemistry,LA,#00447c
Biology,LA,#00447c
Brewery Operations,PS,#717073
Chemistry,LA,#00447c
Chicano Studies,LA,#00447c
Civil Engineering Technology,PS,#717073
Communication Design,LA,#00447c
Communication Studies,LA,#00447c
Computer Engineering,PS,#717073
Computer Information Systems,BU,#d11242
Computer Science,LA,#00447c
Criminal Justice & Criminology,PS,#717073
Cybersecurity,PS,#717073
Dance,PS,#717073
Economics,BU,#d11242
"Education, Undeclared",ED,#b6d3f1
Electrical Engineering Tech,PS,#717073
Elementary Education,ED,#b6d3f1
English,LA,#00447c
Entrepreneurship,BU,#d11242
Environmental Science,LA,#00447c
Event & Meeting Management,PS,#717073
Exercise Science,PS,#717073
Finance,BU,#d11242
Fire & Emergency Response Adm,PS,#717073
Geospatial Sciences,LA,#00447c
Global Business Studies,BU,#d11242
Gndr Women Sexualities Studies,LA,#00447c
Health Care Management,PS,#717073
Health Care Professional Srvcs,PS,#717073
History,LA,#00447c
"Hospitality, Tourism & Events",PS,#717073
Human Dev. and Family Studies,LA,#00447c
Human Development,LA,#00447c
Human Nutrition - Dietetics,PS,#717073
Human Performance & Sport,PS,#717073
Human Services,PS,#717073
Individualized Degree Program,LA,#00447c
Industrial Design,PS,#717073
Integrative Health Care,PS,#717073
International Business,BU,#d11242
Journalism,PS,#717073
K-12 Physical Education,ED,#b6d3f1
Lifestyle Medicine,PS,#717073
Linguistics,LA,#00447c
Management,BU,#d11242
Marketing,BU,#d11242
Mathematics,LA,#00447c
Mechanical Engineering Tech,PS,#717073
Meteorology,LA,#00447c
Modern Languages,LA,#00447c
Music,LA,#00447c
Music Education,LA,#00447c
Nursing,PS,#717073
Nutrition Science,PS,#717073
Philosophy,LA,#00447c
Physics,LA,#00447c
Political Science,LA,#00447c
Psychology,LA,#00447c
Public Relations,PS,#717073
Social Work,PS,#717073
Sociology,LA,#00447c
Special Education,ED,#b6d3f1
"Speech, Lang, Hearing Sciences",PS,#717073
Sport Management,PS,#717073
Sustainable System Engineering,PS,#717073
Technical Communications,PS,#717073
Technical Writing & Editing,PS,#717073
Theatre,LA,#00447c
Travel and Tourism Management,PS,#717073
Undeclared Nursing Interest,PS,#717073
Video Production,PS,#717073
